street_name,num_of_rooms,size,type,location,final_price,sold_month,sold_year,price_change,initial_price,floor_num,year_built
Götalandsvägen,4.0,93,Lägenhet, Älvsjö,4450000,okt,2019,1.7,4375614,3,1944
Jämtlandsgatan,4.0,91,Lägenhet, Vällingby,4275000,sep,2019,12.6,3796625,3,1944
Borensvägen,2.0,53,Lägenhet, Årsta,3150000,dec,2018,17.8,2674023,3,1944
Borensvägen,2.0,42,Lägenhet, Årsta,2530000,okt,2018,11.2,2275179,3,1944
Sandfjärdsgatan,3.0,71,Lägenhet, Årsta,2815000,dec,2018,5.2,2675855,3,1944
Glindragränd,3.0,78,Lägenhet, Årsta,4150000,nov,2018,-5.7,4400848,3,1944
Svärdlångsvägen,3.0,70,Lägenhet, Årsta,2975000,okt,2018,-4.0,3098958,3,1944
Skattungsvägen,2.0,56,Lägenhet, Årsta,2525000,aug,2018,3.1,2449078,3,1944
Bränningevägen,3.0,82,Lägenhet, Årsta,4910000,aug,2018,9.7,4475843,3,1944
Årstavägen,2.0,54,Lägenhet, Årsta,3100000,maj,2018,20.4,2574750,3,1944
Sköntorpsvägen,2.0,43,Lägenhet, Årsta,2820000,aug,2018,17.5,2400000,3,1944
Sköntorpsvägen,1.5,32,Lägenhet, Årsta,2465000,aug,2018,13.3,2175639,1,1945
Hjälmarsvägen,3.0,54,Lägenhet, Årsta,3030000,aug,2018,13.3,2674315,1,1945
Sköntorpsvägen,2.0,47,Lägenhet, Årsta,2870000,aug,2018,16.0,2474137,1,1945
Storsjövägen,2.0,61,Lägenhet, Årsta,3415000,mar,2018,11.1,3073807,1,1945
Järnlundsvägen,2.0,41,Lägenhet, Årsta,2400000,maj,2018,11.6,2150537,1,1945
Malgomajvägen,3.0,70,Lägenhet, Årsta,3275000,mar,2018,0.0,3275000,1,1945
Rämensvägen,2.0,51,Lägenhet, Årsta,2520000,mar,2018,6.1,2375000,1,1945
Sköntorpsvägen,2.0,41,Lägenhet, Årsta,2700000,mar,2018,0.9,2675916,1,1945
Eklångsvägen,2.0,44,Lägenhet, Årsta,2650000,mar,2018,11.6,2374551,1,1945
Svärdlångsvägen,3.0,74,Lägenhet, Årsta,3550000,feb,2018,-2.7,3648509,1,1945
Rämensvägen,1.0,33,Lägenhet, Årsta,2170000,jan,2018,4.6,2074569,1,1945
Svärdlångsvägen,3.0,72,Lägenhet, Årsta,3475000,jan,2018,3.0,3373786,1,1945
Slätbaksvägen,2.0,43,Lägenhet, Årsta,2470000,nov,2017,8.6,2274401,1,1945
Sandfjärdsgatan,2.0,32,Lägenhet, Årsta,2230000,jan,2018,14.4,1949300,1,1945
Siljansvägen,3.0,56,Lägenhet, Årsta,3200000,okt,2017,15.3,2775000,1,1945
Slätbaksvägen,2.0,45,Lägenhet, Årsta,2645000,sep,2017,12.6,2349023,3,1946
Årstavägen,3.0,57,Lägenhet, Årsta,3500000,sep,2017,26.1,2775574,3,1946
Järnlundsvägen,2.0,56,Lägenhet, Årsta,2975000,aug,2017,20.2,2475041,3,1946
Kolsnarsvägen,2.0,43,Lägenhet, Årsta,2700000,aug,2017,13.7,2374670,3,1946
Glindragränd,2.0,54,Lägenhet, Årsta,3175000,mar,2017,0.0,3175000,3,1946
Sköntorpsvägen,2.0,47,Lägenhet, Årsta,2950000,mar,2017,19.2,2474832,3,1946
Årstavägen,3.0,63,Lägenhet, Årsta,3175000,aug,2016,0.0,3175000,3,1946
Gullmarsvägen,1.0,28,Lägenhet, Årsta,2710000,aug,2016,24.6,2174959,3,2017
Rämensvägen,2.0,50,Lägenhet, Årsta,3020000,jun,2016,18.4,2550675,3,2017
Orrfjärdsgränd,2.0,60,Lägenhet, Årsta,2900000,apr,2016,9.4,2650822,3,2017
Hjälmarsvägen,2.0,46,Lägenhet, Årsta,2750000,maj,2016,12.2,2450980,3,2017
Järnlundsvägen,1.0,25,Lägenhet, Årsta,2300000,apr,2016,16.5,1974248,3,2017
Repslagargatan,2.0,54,Lägenhet, Södermalm,4750000,dec,2019,5.7,4493850,3,2017
Bondegatan,3.0,105,Lägenhet, Södermalm,10050000,dec,2019,0.0,10050000,3,2017
Beckomberga,4.0,129,Lägenhet, Bromma,6700000,dec,2019,-0.7,6750000,3,2017
Strålgatan,1.0,35,Lägenhet, Lilla Essingen Kungsholmen,3010000,dec,2019,20.6,2495854,2,1948
