street_name,num_of_rooms,size,type,location,sold_month,sold_year,initial_price,floor_num,year_built,final_price
Gräsholmsvägen,3,68,Lägenhet, Skärholmen,jan,2020,2450000,1,1901,2450000
Västmannagatan,1,42,Lägenhet, Vasastan,jan,2020,3675000,1,1901,4300000
Älvkvarnsvägen,7,119,Kedjehus, Solhem,jan,2020,5295000,1,1965,5350000
Sysslomansgatan,1.5,34,Lägenhet, Kungsholmen,jan,2020,2695000,1,1940,3200000
Metargatan,1.5,34,Lägenhet, Södermalm,jan,2020,2595000,1,1930,3135000
Vikingagatan,2,56,Lägenhet, Vasastan,jan,2020,4350000,3,1904,5300000
Karlavägen,4,106,Lägenhet, Östermalm,jan,2020,10900000,1,1920,11450000
Gävlegatan,2,34,Lägenhet, Hagastaden,jan,2020,3395000,9,2017,3730000
Nimrodsgatan,3,83,Lägenhet, Hjorthagen,jan,2020,5995000,1,1910,7360000
Karlbergsvägen,2.5,61,Lägenhet, Vasastan,jan,2020,4695000,5,1985,4695000
Årstaskogs,2,53,Lägenhet, Liljeholmen,jan,2020,2995000,7,2018,3380000
Heleneborgsgatan,1,24,Lägenhet, Södermalm,jan,2020,2395000,2,1926,2500000
Langelandsgatan,2,56,Lägenhet, Entréplan,jan,2020,1850000,1,1976,1950000
Langelandsgatan,2,56,Lägenhet, Entréplan,jan,2020,1850000,1,1976,1950000
Folkungagatan,2,58,Lägenhet, Södermalm Katarina,jan,2020,4895000,1,1907,5650000
Registervägen,2,55,Lägenhet, Abrahamsberg,jan,2020,2495000,2,1945,3020000
Maria,4,90,Lägenhet, Södermalm,jan,2020,6375000,6,1989,6720000
Östgötagatan,2,41,Lägenhet, Södermalm,jan,2020,3250000,4,1930,3700000
Sankt,1,22,Lägenhet, Kungsholmen,jan,2020,1975000,9,1950,2465000
Lessebovägen,6,158,Villa, Stureby,jan,2020,7950000,7,1940,8750000
Responsgatan,1,34,Lägenhet, Telefonplan,jan,2020,2550000,7,2019,2550000
Bohusgatan,3,75,Lägenhet, Södermalm,jan,2020,4995000,5,1964,5885000
Hjulstavägen,3,54,Lägenhet, Spånga,jan,2020,1995000,4,2018,1995000
